               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11834,             0.03132,                   0,           0.0011111,            0.016949,          0.00062851,           0.0002514,             0.10863,            0.023769,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.10688,            0.028718,                   0,           0.0028083,            0.050847,           0.0086855,          0.00099558,            0.098993,            0.020211,                   0,            0.077475,           0.0024753,           0.0024753
                   2,            0.097937,            0.027217,                   0,            0.024641,            0.067797,            0.021278,           0.0043599,            0.085901,            0.018124,                   0,            0.065725,           0.0037248,           0.0037248
                   3,             0.08751,            0.023558,                   0,            0.081747,             0.16949,             0.08216,              0.0317,            0.077335,            0.016917,                   0,            0.053949,           0.0049485,           0.0049485
                   4,            0.081529,            0.027821,                   0,              0.1663,             0.23729,             0.13458,            0.033312,            0.077442,            0.015001,                   0,            0.042147,           0.0061466,           0.0061466
                   5,            0.077072,            0.025284,                   0,             0.22662,             0.25424,             0.21864,            0.082926,            0.068293,            0.014429,                   0,            0.030319,           0.0073188,           0.0073188
                   6,            0.070563,            0.024994,                   0,             0.27469,             0.27119,             0.19526,            0.067442,             0.07818,            0.012207,                   0,            0.018465,           0.0084654,           0.0084654
                   7,            0.067463,            0.026307,                   0,             0.63363,             0.55932,             0.59668,             0.19998,            0.064695,            0.011783,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.065026,            0.022339,                   0,             0.44677,             0.44068,             0.43289,             0.13908,            0.066401,             0.01216,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.060315,            0.022123,                   0,             0.59638,             0.35593,             0.43388,             0.17096,            0.063824,            0.011603,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.056457,            0.020456,                   0,             0.68573,             0.48088,             0.62968,             0.23037,            0.054854,            0.011016,                   0,            0.009109,            0.009109,            0.009109
